"title","volume","ISSN","url","DOI","number","journal","publisher","author","year","month","pages","key","entry","V1","editor","ISBN","booktitle","series","collection","doi","keywords","place","abstractNote"
"Contemporary monitoring of storm surge activity","44","1477-0296","http://dx.doi.org/10.1177/0309133319879324","10.1177/0309133319879324","3","Progress in Physical Geography: Earth and Environment","SAGE Publications","Ji, Tao and Li, Guosheng","2019","sep","299–314","Ji_2019","article","10.1177/0309133319879324",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Reconstruction of Atlantic herring (Clupea harengus) recruitment in the North Sea for the past 455 years based on the δ13C from annual shell increments of the ocean quahog (Arctica islandica)","20","1467-2979","http://dx.doi.org/10.1111/faf.12362","10.1111/faf.12362","3","Fish and Fisheries","Wiley","Estrella‐Martínez, Juan and Schöne, Bernd R. and Thurstan, Ruth H. and Capuzzo, Elisa and Scourse, James D. and Butler, Paul G.","2019","mar","537–551","Estrella_Mart_nez_2019","article","10.1111/faf.12362",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Modelling and predicting habitats for the neobiotic American razor clam Ensis leei in the Wadden Sea","231","0272-7714","http://dx.doi.org/10.1016/j.ecss.2019.106440","10.1016/j.ecss.2019.106440",NA,"Estuarine, Coastal and Shelf Science","Elsevier BV","Schwemmer, Philipp and Adler, Sven and Enners, Leonie and Volmer, Henning and Kottsieper, Johanna and Ricklefs, Klaus and Stage, Maria and Schwarzer, Klaus and Wittbrodt, Kerstin and Reimers, Hans-Christian and Binder, Kirsten and Asmus, Ragnhild and Asmus, Harald and Horn, Sabine and Schückel, Ulrike and Kohlus, Jörn and Eskildsen, Kai and Klingbeil, Knut and Gräwe, Ulf and Garthe, Stefan","2019","dec","106440","Schwemmer_2019","article","10.1016/j.ecss.2019.106440",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Multi-residue quantification and screening of emerging organic micropollutants in the Belgian Part of the North Sea by use of Speedisk extraction and Q-Orbitrap HRMS","142","0025-326X","http://dx.doi.org/10.1016/j.marpolbul.2019.03.049","10.1016/j.marpolbul.2019.03.049",NA,"Marine Pollution Bulletin","Elsevier BV","Vanryckeghem, Francis and Huysman, Steve and Van Langenhove, Herman and Vanhaecke, Lynn and Demeestere, Kristof","2019","may","350–360","Vanryckeghem_2019","article","10.1016/j.marpolbul.2019.03.049",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Molecular analysis ofUlva compressa(Chlorophyta, Ulvales) reveals its morphological plasticity, distribution and potential invasiveness on German North Sea and Baltic Sea coasts","54","1469-4433","http://dx.doi.org/10.1080/09670262.2018.1513167","10.1080/09670262.2018.1513167","1","European Journal of Phycology","Informa UK Limited","Steinhagen, S. and Weinberger, F. and Karez, R.","2018","dec","102–114","Steinhagen_2018","article","10.1080/09670262.2018.1513167",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stable coexistence of equivalent nutrient competitors through niche differentiation in the light spectrum","100","1939-9170","http://dx.doi.org/10.1002/ecy.2873","10.1002/ecy.2873","12","Ecology","Wiley","Burson, Amanda and Stomp, Maayke and Mekkes, Lisette and Huisman, Jef","2019","sep",NA,"Burson_2019","article","10.1002/ecy.2873",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spatial distribution of foreshore litter on the northwest European continental shelf","142","0025-326X","http://dx.doi.org/10.1016/j.marpolbul.2019.04.009","10.1016/j.marpolbul.2019.04.009",NA,"Marine Pollution Bulletin","Elsevier BV","Turrell, W.R.","2019","may","583–594","Turrell_2019","article","10.1016/j.marpolbul.2019.04.009",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Surface Heat Budget over the North Sea in Climate Change Simulations","10","2073-4433","http://dx.doi.org/10.3390/atmos10050272","10.3390/atmos10050272","5","Atmosphere","MDPI AG","Dieterich, Christian and Wang, Shiyu and Schimanke, Semjon and Gröger, Matthias and Klein, Birgit and Hordoir, Robinson and Samuelsson, Patrick and Liu, Ye and Axell, Lars and Höglund, Anders and Meier, H. E. Markus","2019","may","272","Dieterich_2019","article","10.3390/atmos10050272",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centennial decline in North Sea water clarity causes strong delay in phytoplankton bloom timing","25","1365-2486","http://dx.doi.org/10.1111/gcb.14810","10.1111/gcb.14810","11","Global Change Biology","Wiley","Opdal, Anders Frugård and Lindemann, Christian and Aksnes, Dag L.","2019","sep","3946–3953","Opdal_2019","article","10.1111/gcb.14810",NA,NA,NA,NA,NA,NA,NA,NA,NA
"An invasive alien bivalve apparently provides a novel food source for moulting and wintering benthic feeding sea ducks","73","1438-3888","http://dx.doi.org/10.1186/s10152-019-0532-z","10.1186/s10152-019-0532-z","1","Helgoland Marine Research","Springer Science and Business Media LLC","Kottsieper, Johanna and Schwemmer, Philipp and Markones, Nele and Fox, Anthony D. and Garthe, Stefan","2019","dec",NA,"Kottsieper_2019","article","10.1186/s10152-019-0532-z",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Shifts in trait-based and taxonomic macrofauna community structure along a 27-year time-series in the south-eastern North Sea","14","1932-6203","http://dx.doi.org/10.1371/journal.pone.0226410","10.1371/journal.pone.0226410","12","PLOS ONE","Public Library of Science (PLoS)","Meyer, Julia and Kröncke, Ingrid","2019","dec","e0226410","Meyer_2019","article","10.1371/journal.pone.0226410","Riascos, Jose M.",NA,NA,NA,NA,NA,NA,NA,NA
"How invasive oysters can affect parasite infection patterns in native mussels on a large spatial scale","190","1432-1939","http://dx.doi.org/10.1007/s00442-019-04408-x","10.1007/s00442-019-04408-x","1","Oecologia","Springer Science and Business Media LLC","Goedknegt, M. Anouk and Nauta, Reinier and Markovic, Mirjana and Buschbaum, Christian and Folmer, Eelke O. and Luttikhuizen, Pieternella C. and van der Meer, Jaap and Waser, Andreas M. and Wegner, K. Mathias and Thieltges, David W.","2019","may","99–113","Goedknegt_2019","article","10.1007/s00442-019-04408-x",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Identification of microbial key-indicators of oil contamination at sea through tracking of oil biotransformation: An Arctic field and laboratory study","696","0048-9697","http://dx.doi.org/10.1016/j.scitotenv.2019.133715","10.1016/j.scitotenv.2019.133715",NA,"Science of The Total Environment","Elsevier BV","Krolicka, Adriana and Boccadoro, Catherine and Nilsen, Mari Mæland and Demir-Hilton, Elif and Birch, Jim and Preston, Christina and Scholin, Chris and Baussant, Thierry","2019","dec","133715","Krolicka_2019","article","10.1016/j.scitotenv.2019.133715",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Midnight at the oasis: does restoration change the rigs-to-reefs debate in the North Sea?","22","1522-7200","http://dx.doi.org/10.1080/1523908x.2019.1697657","10.1080/1523908x.2019.1697657","2","Journal of Environmental Policy &amp; Planning","Informa UK Limited","Ounanian, Kristen and van Tatenhove, Jan P.M. and Ramírez-Monsalve, Paulina","2019","dec","211–225","Ounanian_2019","article","10.1080/1523908x.2019.1697657",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Increasing turbidity in the North Sea during the 20th century due to changing wave climate","15","1812-0792","http://dx.doi.org/10.5194/os-15-1615-2019","10.5194/os-15-1615-2019","6","Ocean Science","Copernicus GmbH","Wilson, Robert J. and Heath, Michael R.","2019","dec","1615–1625","Wilson_2019","article","10.5194/os-15-1615-2019",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Secondary contacts and genetic admixture shape colonization by an amphiatlantic epibenthic invertebrate","13","1752-4571","http://dx.doi.org/10.1111/eva.12893","10.1111/eva.12893","3","Evolutionary Applications","Wiley","Hudson, Jamie and Johannesson, Kerstin and McQuaid, Christopher D. and Rius, Marc","2019","dec","600–612","Hudson_2019","article","10.1111/eva.12893",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Attraction of nocturnally migrating birds to artificial light: The influence of colour, intensity and blinking mode under different cloud cover conditions","233","0006-3207","http://dx.doi.org/10.1016/j.biocon.2019.02.029","10.1016/j.biocon.2019.02.029",NA,"Biological Conservation","Elsevier BV","Rebke, Maren and Dierschke, Volker and Weiner, Christiane N. and Aumüller, Ralf and Hill, Katrin and Hill, Reinhold","2019","may","220–227","Rebke_2019","article","10.1016/j.biocon.2019.02.029",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Implications of using chemical dispersants to combat oil spills in the German Bight – Depiction by means of a Bayesian network","248","0269-7491","http://dx.doi.org/10.1016/j.envpol.2019.02.063","10.1016/j.envpol.2019.02.063",NA,"Environmental Pollution","Elsevier BV","Liu, Zengkai and Callies, Ulrich","2019","may","609–620","Liu_2019","article","10.1016/j.envpol.2019.02.063",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Footprint and detectability of a well leaking CO2 in the Central North Sea: Implications from a field experiment and numerical modelling","84","1750-5836","http://dx.doi.org/10.1016/j.ijggc.2019.03.012","10.1016/j.ijggc.2019.03.012",NA,"International Journal of Greenhouse Gas Control","Elsevier BV","Vielstädte, Lisa and Linke, Peter and Schmidt, Mark and Sommer, Stefan and Haeckel, Matthias and Braack, Malte and Wallmann, Klaus","2019","may","190–203","Vielst_dte_2019","article","10.1016/j.ijggc.2019.03.012",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Molecular Targets for Coevolutionary Interactions Between Pacific Oyster Larvae and Their Sympatric Vibrios","10","1664-302X","http://dx.doi.org/10.3389/fmicb.2019.02067","10.3389/fmicb.2019.02067",NA,"Frontiers in Microbiology","Frontiers Media SA","Wegner, K. Mathias and Piel, Damien and Bruto, Maxime and John, Uwe and Mao, Zhijuan and Alunno-Bruscia, Marianne and Petton, Bruno and Le Roux, Frédérique","2019","sep",NA,"Wegner_2019","article","10.3389/fmicb.2019.02067",NA,NA,NA,NA,NA,NA,NA,NA,NA
"The use of linear mixed effects models to investigate local adaptation in marine fish subpopulations: case study, changing spawning times of common sole (Solea solea)","76","1095-9289","http://dx.doi.org/10.1093/icesjms/fsz175","10.1093/icesjms/fsz175","7","ICES Journal of Marine Science","Oxford University Press (OUP)","Fincham, Jennifer I and Barry, Jon","2019","aug","2297–2304","Fincham_2019","article","10.1093/icesjms/fsz175","Bartolino, Valerio",NA,NA,NA,NA,NA,NA,NA,NA
"Spatially resolved past and projected changes of the suitable thermal habitat of North Sea cod (Gadus morhua) under climate change","76","1095-9289","http://dx.doi.org/10.1093/icesjms/fsz132","10.1093/icesjms/fsz132","7","ICES Journal of Marine Science","Oxford University Press (OUP)","Núñez-Riboni, Ismael and Taylor, Marc H and Kempf, Alexander and Püts, Miriam and Mathis, Moritz","2019","jul","2389–2403","N_ez_Riboni_2019","article","10.1093/icesjms/fsz132","Ojaveer, Henn",NA,NA,NA,NA,NA,NA,NA,NA
"Likely and High-End Impacts of Regional Sea-Level Rise on the Shoreline Change of European Sandy Coasts Under a High Greenhouse Gas Emissions Scenario","11","2073-4441","http://dx.doi.org/10.3390/w11122607","10.3390/w11122607","12","Water","MDPI AG","Thiéblemont, Rémi and Le Cozannet, Gonéri and Toimil, Alexandra and Meyssignac, Benoit and Losada, Iñigo J.","2019","dec","2607","Thi_blemont_2019","article","10.3390/w11122607",NA,NA,NA,NA,NA,NA,NA,NA,NA
