"","link","title","pub_year"
"1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33644617084&partnerID=40&md5=037305236324e22a9e8539a8f79069d7","Changes in fisheries practices and Oystercatcher survival, recruitment and body mass in a marginal Cockle fishery","2005"
"2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-1542291149&partnerID=40&md5=86c3868eea971ba61699732800f8a6ab","The influence of age, sex, body-condition, and region on the levels of PBDEs and toxaphene in harbour porpoises from European waters","2004"
"3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036876456&partnerID=40&md5=f9b9cf72aaab3e44f1248fdb394b3fee","Lead, mercury and cadmium burden of the German mud flats (Wattenmeer) does not hamper quality of common shrimp","2002"
"4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0038580664&partnerID=40&md5=33ba8fa9aeca5e0e00f3032bcddbc281","The reliability of extreme surge levels, estimated from observational records of order hundred years","2003"
"5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035018076&partnerID=40&md5=1317c2c5cd1509b7d10f130e6a330ae6","Development of a scientific observational network on European river basins and coastal zones","2001"
"6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033369945&partnerID=40&md5=c164313e903b726de85833aa9eea5ca3","Changing levels of predation on benthos as a result of exploitation of fish populations","1999"
"7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034836897&partnerID=40&md5=d95e3606eaae0a22f3baa43816e6b96a","Effects of exploitation on age and size structure of sandeel, Ammodytes marinus, populations in the North Sea","2001"
"8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031421409&partnerID=40&md5=7de3fa15c1780c887df13fda9b857824","Quantitative analysis of discards from brown shrimp trawlers in the coastal area of the East Frisian islands","1997"
"9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-11544372168&partnerID=40&md5=9d4d069f52c2b9ecf97a3326ac702184","Variation of organochlorine residues with length in the edible part of mackerel (Scomber scombrus) from different fishing grounds","1998"
"10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031430017&partnerID=40&md5=052a654570c974804c290f70d502d706","Discards from beam trawl fisheries in the German Bight (North Sea)","1998"
"11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032448707&partnerID=40&md5=4f7f898e07efd66eaaef4b333af1caac","Harmful algae, marine blooms, and simple population models","1998"
"12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029668025&partnerID=40&md5=8f20e39da2d90239b4ffb29b482ba426","Organochlorine contamination of UK Essex coast salt marsh sediments","1996"
"13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0002892446&partnerID=40&md5=d53db74fdfb524682d18563f63d9b7cf","On the by-catch of harbour porpoise (Phocoena phocoena) in German fisheries in the Baltic and the North Sea","1996"
"14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001633075&partnerID=40&md5=b3f154d9292f35b1c63699242aa55ca3","Organochlorine compounds in marine organisms from the international North Sea incineration area","1996"
"15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646070259&partnerID=40&md5=490b5af6cc8be4ad4100e91e5586632c","""SLIKTRAK""-A Computer simulation of offshore oil spills, cleanup, effects and associated costs","2005"
"16","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025498199&partnerID=40&md5=1a38a4fa7ba3079f4ef39b78a17fa202","How environmental concerns will govern the future choice of drilling fluids","1990"
"17","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025072342&partnerID=40&md5=f78fb66955be42889b380e027a0aa353","CSCE: North Sea Protection: Insufficient progress","1990"
"18","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33749043743&partnerID=40&md5=7cbfe3b217177296638690cf7ed63520","Extent of polution by polyaromatic hydrocarbons of the 3-benzo, 4-pyrene type in the North Sea and glacial Arctic Ocean.","1963"
"19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875321743&partnerID=40&md5=5a561a90373fdf8320c3a6579a9d98f8","Scour protection around offshore wind turbine foundations, full-scale measurements","2007"
"20","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645127870&partnerID=40&md5=8e64fe3e20f85c2bb7f7742324de3932","Tracing the path of carbon dioxide from a gas/condensate reservoir, through an amine plant and back into a subsurface aquifer - Case study: The Sleipner area, Norwegian North Sea","2005"
"21","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883075778&partnerID=40&md5=5b8ca2878de152c333a159a78579a84b","Underground coal gasification in deep coal seams with carbon capture and storage","2005"
"22","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052952893&partnerID=40&md5=b04f8feea61b9f1a0e8ce16d5e1cbc3a","Evaluation of management strategies for the mixed North Sea roundfish fisheries with the flr framework","2007"
"23","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025691981&partnerID=40&md5=215e7ea12944becc10e543c643665173","Tourism on the North Sea barrier islands and its morphological effects","1990"
"24","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025658139&partnerID=40&md5=b48d2ec637b3304776f0da47f858da34","Oil in troubled water","1990"
"25","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025626230&partnerID=40&md5=badd12a40f4a13fd3ea1d88be4b72220","Airborne instruments for monitoring marine pollution","1990"
"26","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033711274&partnerID=40&md5=1a160bff0bfeebb907a524fe141aa89f","Modelling the Humber Estuary catchment and coastal zone","2000"
"27","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33644556854&partnerID=40&md5=89463b7be966ea4c96cc83786cc1711c","Combining airborne and satellite remote sensing programs to repress illegal oil discharges in restricted sea areas","2005"
"28","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746873952&partnerID=40&md5=94ba1b19e7d3040985fcfa761edfbd3d","Late holocene environment of the southern north sea from the stable isotopic composition of Queen Scallop Shells","2000"
"29","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33644812494&partnerID=40&md5=470a64c70d6675799d380a0d32b62af7","A new concept of chemical sand consolidation: From idea and laboratory qualification to field application","2005"
"30","https://www.scopus.com/inward/record.uri?eid=2-s2.0-4544337797&partnerID=40&md5=d8bc51309a8f665b3bf0fb87a528decb","Have efforts to clean up the marine environment been successful? - German beached bird surveys provide an index for oil pollution levels in the southern North Sea","2000"
"31","https://www.scopus.com/inward/record.uri?eid=2-s2.0-4544253527&partnerID=40&md5=04314c0e02e560a0c0d901d8492c563c","Sensitivity mapping of particular sensitive areas","2000"
"32","https://www.scopus.com/inward/record.uri?eid=2-s2.0-1042278279&partnerID=40&md5=fa1b68ba50e754eeabd4ad84d756224d","Germany's Precautionary Measures Against Marine Accidental Pollution at Sea and in Coastal Waters","2000"
"33","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025585792&partnerID=40&md5=bd4d28711ee8bd3a0715579662741e6e","The pollution of coasts and seas as a regional and global challenge","1990"
"34","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025624118&partnerID=40&md5=91137565cd9ffbc55362f18909c90e0a","The state of the North Sea. Quality and pollution","1990"
"35","https://www.scopus.com/inward/record.uri?eid=2-s2.0-36048995292&partnerID=40&md5=6559db46db7a1f907a1d158a6acc336c","Wadden sea and climate change","2007"
"36","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0345790086&partnerID=40&md5=c8493d7453b42540e96510e3eb28a413","Monitoring the southern North Sea Clean Seas","2000"
"37","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034439609&partnerID=40&md5=38aa4fc80c538af479708d458d22485e","Predominance of exotic and introduced species among sturgeons captured from the Baltic and North Seas and their watersheds, 1981-1999","2000"
"38","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025692208&partnerID=40&md5=2bf809884afd294245b41ae6da1d7592","Operational patterns of the Norwegian minke whale fishery","1990"
