1;#NV;Article ID;Article URL;Title;Journal;Authors;Abstract;predict(47459:Include);Authors;Affiliations;Title;Abstract;Year;Type;Journal;Doi;Link;Database;metadata filetype;db index;match quality;meta_df_index;lookup;Title
2133;2152;9367961;https://sysrev.com/p/37916/article/9367961;Changes in fisheries practices and Oystercatcher survival, recruitment and body mass in a marginal Cockle fishery;Ardea;"Atkinson, P. W.; Clark, N. A.; Dodd, S. G.; Moss, D.";Small hand-gathering shellfisheries have not been associated with the major negative ecological impacts observed as a result of large-scale and long-term mechanical dredging of Mussel Mytilus edulis and Cockles Cerastoderma edule in the Dutch part of the Wadden Sea and the Wash Estuary in the UK. A hand-gathering Cockle fishery has been in existence for many years at Traeth Lafan, a large sandy area in north Wales designated as a Special Protection Area on account of the wintering population of Oystercatchers Haematopus ostralegus. In addition to the hand fisher) suction-dredging for Cockles took place in four winters between 1989/1990 and 1996/1997 and the amount of farmed Mussels increased dramatically from 1995/1996 onwards. Since 1980/1981, the fishery can be characterised into three periods of similar management: 1980/1981 to 1988/1989, 1991/1992 and 1992/1993 (period A, eleven winters, hand gathering Cockles only, low Mussel stocks), 1989/1990 to 1990/1991 and 1993/1994 (period B, three winters, suction dredging and hand gathering of Cockles, low Mussel stocks) and 1994/1995 to 2002/2003 (period C, suction dredging in one out of nine winters and high Mussel stocks). Adult Oystercatcher survival, juvenile recruitment and both adult and juvenile mass were lower in period B, the winters in which dredging occurred and Mussel stocks were low. Increases in bird numbers after the dredging periods were due to greater juvenile recruitment, most likely caused by adults moving from the Cockle beds to feed on the new Mussel resource provided by a large increase in commercial farming. Commercial dredging for shellfish, even on a small scale, will increase the risk of higher Oystercatcher mortality especially if alternative food sources are not available. Mussel culture in the intertidal area adds new food supplies but internationally important numbers of birds should not have to rely on a food source of which the availability is likely to be determined by market forces.;0.053;Atkinson P.W., Clark N.A., Dodd S.G., Moss D.;"British Trust for Ornithology, The Nunnery, Thetford, Norfolk IP24 2PU, United Kingdom; Wittan Acre, Bringsty, Worcestershire WR6 5UJ, United Kingdom; 21 Stapleford Road, Oakham, Rutland LE15 7HF, United Kingdom";Changes in fisheries practices and Oystercatcher survival, recruitment and body mass in a marginal Cockle fishery;Small hand-gathering shellfisheries have not been associated with the major negative ecological impacts observed as a result of large-scale and long-term mechanical dredging of Mussel Mytilus edulis and Cockles Cerastoderma edule in the Dutch part of the Wadden Sea and the Wash Estuary in the UK. A hand-gathering Cockle fishery has been in existence for many years at Traeth Lafan, a large sandy area in north Wales designated as a Special Protection Area on account of the wintering population of Oystercatchers Haematopus ostralegus. In addition to the hand fishery, suction-dredging for Cockles took place in four winters between 1989/1990 and 1996/1997 and the amount of farmed Mussels increased dramatically from 1995/1996 onwards. Since 1980/1981, the fishery can be characterised into three periods of similar management: 1980/1981 to 1988/1989, 1991/1992 and 1992/1993 (period A, eleven winters, hand gathering Cockles only, low Mussel stocks), 1989/1990 to 1990/1991 and 1993/1994 (period B, three winters, suction dredging and hand gathering of Cockles, low Mussel stocks) and 1994/1995 to 2002/2003 (period C, suction dredging in one out of nine winters and high Mussel stocks). Adult Oystercatcher survival, juvenile recruitment and both adult and juvenile mass were lower in period B, the winters in which dredging occurred and Mussel stocks were low. Increases in bird numbers after the dredging periods were due to greater juvenile recruitment, most likely caused by adults moving from the Cockle beds to feed on the new Mussel resource provided by a large increase in commercial farming. Commercial dredging for shellfish, even on a small scale, will increase the risk of higher Oystercatcher mortality, especially if alternative food sources are not available. Mussel culture in the intertidal area adds new food supplies but internationally important numbers of birds should not have to rely on a food source of which the availability is likely to be determined by market forces.;2005;Article;Ardea;#NV;https://www.scopus.com/inward/record.uri?eid=2-s2.0-33644617084&partnerID=40&md5=037305236324e22a9e8539a8f79069d7;Scopus;csv;3469;1.0;4976;True;#NV
2324;2343;9368406;https://sysrev.com/p/37916/article/9368406;The influence of age, sex, body-condition, and region on the levels of PBDEs and toxaphene in harbour porpoises from European waters;Fresenius Environmental Bulletin;"Thron, K. U.; Bruhn, R.; McLachlan, M. S.";"The concentrations of polybrominated diphenyl ethers (PBDEs) and toxaphene were analysed in blubber of harbour porpoises (Phocoena phocoena) from Iceland, Norway, the North Sea and the Baltic Sea. The levels varied widely, ranging from 18-5800 ng/g lipid for the sum of 7 PBDE congeners and from 13-7400 ng/g lipid for the sum of 6 toxaphene congeners. The age and sex, body condition, and origin of the porpoises contributed to this variability. When animals of similar age, sex, and body condition were compared, the concentrations in porpoises from the North Sea and the Baltic Sea were similar. The PBDE levels in these regions were significantly higher than in Iceland, whereas the opposite was true for toxaphene. Along the Norwegian coast the PBDE concentrations tended to decrease with increasing latitude, whereas for toxaphene the trend was reversed. The regional differences for PBDEs were attributed to the proximity to sources in Europe, whereas the elevated levels of toxaphene in porpoises from higher latitudes is believed to be the result of ""global distillation"" of these compounds from the southern USA. It is concluded that harbour porpoises can be used for monitoring persistent organic contaminants when body condition, age and sex of the animals is taken into consideration.";0.006999999999999999;Thron K.U., Bruhn R., McLachlan M.S.;"Baltic Sea Res. Inst., Warnemunde, University Rostock, Postfach 30 11 61, 18112 Rostock, Germany; GKSS Research Center, Max-Planck-Straße 1, 21502 Geesthacht, Germany; ITM, Stockholm University, 106 91 Stockholm, Sweden; Lab. for Analyt. Environ. Chemistry, Inst. of Appl. Environ. Research, Stockholm University, 106 91 Stockholm, Sweden";The influence of age, sex, body-condition, and region on the levels of PBDEs and toxaphene in harbour porpoises from European waters;"The concentrations of polybrominated diphenyl ethers (PBDEs) and toxaphene were analysed in blubber of harbour porpoises (Phocoena phocoena) from Iceland, Norway, the North Sea and the Baltic Sea. The levels varied widely, ranging from 18 - 5800 ng/g lipid for the sum of 7 PBDE congeners and from 13 - 7400 ng/g lipid for the sum of 6 toxaphene congeners. The age and sex, body condition, and origin of the porpoises contributed to this variability. When animals of similar age, sex, and body condition were compared, the concentrations in porpoises from the North Sea and the Baltic Sea were similar. The PBDE levels in these regions were significantly higher than in Iceland, whereas the opposite was true for toxaphene. Along the Norwegian coast the PBDE concentrations tended to decrease with increasing latitude, whereas for toxaphene the trend was reversed. The regional differences for PBDEs were attributed to the proximity to sources in Europe, whereas the elevated levels of toxaphene in porpoises from higher latitudes is believed to be the result of ""global distillation"" of these compounds from the southern USA. It is concluded that harbour porpoises can be used for monitoring persistent organic contaminants when body condition, age and sex of the animals is taken into consideration.";2004;Article;Fresenius Environmental Bulletin;#NV;https://www.scopus.com/inward/record.uri?eid=2-s2.0-1542291149&partnerID=40&md5=86c3868eea971ba61699732800f8a6ab;Scopus;csv;3901;1.0;5408;True;#NV
2344;2363;9368450;https://sysrev.com/p/37916/article/9368450;Lead, mercury and cadmium burden of the German mud flats (Wattenmeer) does not hamper quality of common shrimp;Revue De Medecine Veterinaire;"Brunner, B.; Marx, H.; Stolle, A.";"Cadmium, lead and mercury contents of common shrimp (Crangon crangon L.) from the German Mud Flats in the North Sea were investigated by means of atomic absorption spectrometry. The heavy metal contents of the 48 samples were low. Thus, 0.037 +/- 0.023 mg cadmium, 0.022 +/- 0.012 mg lead and 0.023 +/- 0.020 mg mercury (mean +/- sd) per kg wet weight were found. All of the samples contained lower amounts of the investigated elements than the official levels of concern of the Federal Institute for Health Protection of Consumers and Veterinary Medicine (BgVV) of 0.5 mg Pb/kg, 0.1 mg Cd/kg and 0.5 mg Hg/kg wet weight; the prevailing part of the samples showed significantly lower levels of contamination. Therefore, no risk for the consumer arises from the cadmium, lead and mercury contents of the shrimp caught in this environment. The main reasons for the overall low levels of contamination might be the short period of feeding of the shrimp and, in lead, an active mechanism of secretion. Over this, the heavy metal burden of the shrimp was different in the fishing seasons November resp. May. Compared to earlier investigations, samples recently taken showed reduced Cd and Hg burdens.";0.003;Brunner B., Marx H., Stolle A.;Inst. Hyg./Technol. Food Anim. O., Veterinary Faculty, Ludwig-Maximilians-University Munich, Veterinärstraße 13, 80539 München, Germany;Lead, mercury and cadmium burden of the German mud flats (Wattenmeer) does not hamper quality of common shrimp;"Cadmium, lead and mercury contents of common shrimp (Crangon crangon L.) from the German Mud Flats in the North Sea were investigated by means of atomic absorption spectrometry. The heavy metal contents of the 48 samples were low. Thus, 0.037 ± 0.023 mg cadmium, 0.022 ± 0.012 mg lead and 0.023 ± 0.020 mg mercury (mean ± sd) per kg wet weight were found. All of the samples contained lower amounts of the investigated elements than the official levels of concern of the Federal Institute for Health Protection of Consumers and Veterinary Medicine (BgVV) of 0.5 mg Pb/kg, 0.1 mg Cd/kg and 0.5 mg Hg/kg wet weight; the prevailing part of the samples showed significantly lower levels of contamination. Therefore, no risk for the consumer arises from the cadmium, lead and mercury contents of the shrimp caught in this environment. The main reasons for the overall low levels of contamination might be the short period of feeding of the shrimp and, in lead, an active mechanism of secretion. Over this, the heavy metal burden of the shrimp was different in the fishing seasons November resp. May. Compared to earlier investigations, samples recently taken showed reduced Cd and Hg burdens.";2002;Article;Revue de Medecine Veterinaire;#NV;https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036876456&partnerID=40&md5=f9b9cf72aaab3e44f1248fdb394b3fee;Scopus;csv;4253;1.0;5760;True;#NV
2398;2418;9368582;https://sysrev.com/p/37916/article/9368582;The reliability of extreme surge levels, estimated from observational records of order hundred years;Journal of Coastal Research;"van den Brink, H. W.; Konnen, G. P.; Opsteegh, J. D.";General Circulation Model-generated surges are analyzed with the Generalized Extreme Value distribution to study the uncertainty in surge level estimates with a return period of 104 years, derived from observational records of order hundred years. Ensemble simulations with a total length of 5336 years were generated with the KNMI General Circulation Model ECBilt, coupled with a simple surge model to transform the wind field over the North Sea to the surge level at Delfzijl (NL). The 46 estimated surge levels with a return period of 10(4) years, calculated from sets of 116 year each, vary between 4.5 and 17 meters, with a median of 8.5 meter. The 10(4)-year estimate of the 118-year observational Delfzil. record (5.8 meter) fits well among these subsets, but this surge level is considerably lower than the median of the ensemble estimate. For an estimate of the 10(4)-year return level of the surge within an uncertainty of 10%, a record length of about 10(3) years is required. CO2-doubling does not have a detectable influence on the mean wind speed over the North Sea in ECBilt. However, the model hints on the excitation of severe storms, with a frequency lower than once in 250 year. In ECBilt, these severe storms tend to dominate the 10(4)-year return value of the wind speed over the North Sea.;0.856;Van Den Brink H.W., Können G.P., Opsteegh J.D.;Roy. Netherlands Meteorol. Institute, KNMI, P.O. Box 201, 3730 AE De Bilt, Netherlands;The reliability of extreme surge levels, estimated from observational records of order hundred years;General Circulation Model-generated surges are analyzed with the Generalized Extreme Value distribution to study the uncertainty in surge level estimates with a return period of 104 years, derived from observational records of order hundred years. Ensemble simulations with a total length of 5336 years were generated with the KNMI General Circulation Model ECBilt, coupled with a simple surge model to transform the wind field over the North Sea to the surge level at Delfzijl (NL). The 46 estimated surge levels with a return period of 104 years, calculated from sets of 116 year each, vary between 4.5 and 17 meters, with a median of 8.5 meter. The 104-year estimate of the 118-year observational Delfzijl record (5.8 meter) fits well among these subsets, but this surge level is considerably lower than the median of the ensemble estimate. For an estimate of the 104-year return level of the surge within an uncertainty of 10%, a record length of about 103 years is required. CO2-doubling does not have a detectable influence on the mean wind speed over the North Sea in ECBilt. However, the model hints on the excitation of severe storms, with a frequency lower than once in 250 year. In ECBilt, these severe storms tend to dominate the 104-year return value of the wind speed over the North Sea.;2003;Article;Journal of Coastal Research;#NV;https://www.scopus.com/inward/record.uri?eid=2-s2.0-0038580664&partnerID=40&md5=33ba8fa9aeca5e0e00f3032bcddbc281;Scopus;csv;4090;1.0;5597;True;#NV
2575;2596;9368969;https://sysrev.com/p/37916/article/9368969;Development of a scientific observational network on European river basins and coastal zones;Fresenius Environmental Bulletin;"Murray, C. N.; Bidoglio, G.; Bouraoui, F.";European policy for the protection of the environment, and specially with regard to the problem of limiting the effects of eutrophication of rivers and coastal ecosystems from different types of pollution sources such as (a) agriculture and land use, (b) point source emissions, i.e. industrial waste and sewage discharge from urban areas and (c) atmospheric deposition, is carried out through the application of a range of EU Water Directives. The JRC in collaboration with DG XI and EEA are initiating a programme to identify and develop a network of small river basins-coastal zones across a range of European climatic conditions (Norwegian Sea, Baltic Sea, North Sea, Atlantic, Mediterranean and Black Seas) and investigate methodologies for assessing the efficiency of the application of selected Water Directives in terms of water quality and socio-economic cost-benefit.;0.048;Murray C.N., Bidoglio G., Bouraoui F.;"Environment Institute, Joint Research Centre, Ispra (VA), Italy; Environment Institute, Joint Research Centre, 21020 Ispra (VA), Italy";Development of a scientific observational network on European river basins and coastal zones;European policy for the protection of the environment, and specially with regard to the problem of limiting the effects of eutrophication of rivers and coastal ecosystems from different types of pollution sources such as (a) agriculture and land use, (b) point source emissions, i.e. industrial waste and sewage discharge from urban areas and (c) atmospheric deposition, is carried out through the application of a range of EU Water Directives. The JRC in collaboration with DG XI and EEA are initiating a programme to identify and develop a network of small river basins-coastal zones across a range of European climatic conditions (Norwegian Sea, Baltic Sea, North Sea, Atlantic, Mediterranean and Black Seas) and investigate methodologies for assessing the efficiency of the application of selected Water Directives in terms of water quality and socio-economic cost-benefit.;2001;Conference Paper;Fresenius Environmental Bulletin;#NV;https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035018076&partnerID=40&md5=1317c2c5cd1509b7d10f130e6a330ae6;Scopus;csv;4496;1.0;6003;True;#NV
2605;2626;9369029;https://sysrev.com/p/37916/article/9369029;Changing levels of predation on benthos as a result of exploitation of fish populations;Ambio;"Frid, C. L. J.; Hansson, S.; Ragnarsson, S. A.; Rijnsdorp, A.; Steingrimsson, S. A.";In many coastal areas fishing constitutes the dominant anthropogenic impact on coastal ecosystems. That fishing has altered the abundance and size spectra of fish communities is beyond doubt. We use time series of the abundance, in the North Sea, of 8 demersal fish species and data on food consumption rates to reconstruct a time series of benthic predation pressure. The changes in fish biomass that have occurred, primarily due to fishing pressure, have led to a change in the quantity and taxonomic composition of the benthos consumed by fish predators. Such alterations in the flow of material between ecosystem compartments are likely to cause further changes in ecosystem function as an indirect result of fishing.;0.032;Frid C.L.J., Hansson S., Ragnarsson S.A., Rijnsdorp A., Steingrimsson S.A.;"University of Newcastle, United Kingdom; Dove Marine Laboratory, University of Newcastle, Cullercoats, North Shields NE30 4PZ, United Kingdom; Department of Ecology, Stockholm University, Sweden; Dept. Systems Ecology, Stockholm University, SE-106 91, Stockholm, Sweden; Marine Research Institute of Iceland, Iceland; Marine Research Institute, P.O. Box 1390, Skulagata 4, 121 Reykjavik, Iceland; Netherlands Inst. for Fish. Research, Netherlands; RIVO, P.O. Box 68, 1970 AB Ijimuden, Netherlands; Intl. Cncl. Explor. Seas Working G., United Kingdom";Changing levels of predation on benthos as a result of exploitation of fish populations;In many coastal areas fishing constitutes the dominant anthropogenic impact on coastal ecosystems. That fishing has altered the abundance and size spectra of fish communities is beyond doubt. We use time series of the abundance, in the North Sea, of 8 demersal fish species and data on food consumption rates to reconstruct a time series of benthic predation pressure. The changes in fish biomass that have occurred, primarily due to fishing pressure, have led to a change in the quantity and taxonomic composition of the benthos consumed by fish predators. Such alterations in the flow of material between ecosystem compartments are likely to cause further changes in ecosystem function as an indirect result of fishing.;1999;Article;Ambio;#NV;https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033369945&partnerID=40&md5=c164313e903b726de85833aa9eea5ca3;Scopus;csv;1536;1.0;3043;True;#NV
2612;2633;9369039;https://sysrev.com/p/37916/article/9369039;Effects of exploitation on age and size structure of sandeel, Ammodytes marinus, populations in the North Sea;Archive of Fishery and Marine Research;"Bergstad, O. A.; Hoines, A. S.";Seasonal and annual variation in the age and size distributions of lesser sandeel, Ammodytes marinus, populations in unexploited and exploited areas of the North Sea were compared using data from a Field study carried out between 1997 and 1999. On the comparatively heavily fished east central North Sea grounds (ECG), age and size distributions from Norwegian commercial landings were comparable to those obtained by research vessel samplers. Both showed that one or two age-groups dominated the catches and that the proportion of older and larger fish was low. The age distributions observed in 1999 were exceptional, since the very strong 1996 yearclass contributed significantly to the catches as age-group 3. In the unexploited coastal reference area off southwest Norway, more age groups made a significant contribution to the age distributions, and length ranges were wider than on exploited grounds. Some synoptic data from the coastal area, the 'ECG', the Viking Bank and Dogger Bank indicated that adult mortality rates were higher and life-span shorter in the exploited than in the unexploited areas. The spatial patterns observed suggest that exploitation is an important force structuring the age and length composition of sandeel stocks on the heavily Fished North Sea sandeel grounds. A comparison of recent length distribution values from the main North Sea grounds with values from the 1950s and '60s, suggested significant changes corresponding to the differences currently observed between unexploited and exploited sandeel areas.;0.34600000000000003;Bergstad O.A., Hoines A.S.;Institute of Marine Research, Fløodevigen Marine Res. Stn., His, N-4817, Norway;Effects of exploitation on age and size structure of sandeel, Ammodytes marinus, populations in the North Sea;Seasonal and annual variation in the age and size distributions of lesser sandeel, Ammodytes marinus, populations in unexploited and exploited areas of the North Sea were compared using data from a field study carried out between 1997 and 1999. On the comparatively heavily fished east central North Sea grounds (ECG), age and size distributions from Norwegian commercial landings were comparable to those obtained by research vessel samplers. Both showed that one or two age-groups dominated the catches and that the proportion of older and larger fish was low. The age distributions observed in 1999 were exceptional, since the very strong 1996 yearclass contributed significantly to the catches as age-group 3. In the unexploited coastal reference area off southwest Norway, more age groups made a significant contribution to the age distributions, and length ranges were wider than on exploited grounds. Some synoptic data from the coastal area, the 'ECG', the Viking Bank and Dogger Bank indicated that adult mortality rates were higher and life-span shorter in the exploited than in the unexploited areas. The spatial patterns observed suggest that exploitation is an important force structuring the age and length composition of sandeel stocks on the heavily fished North Sea sandeel grounds. A comparison of recent length distribution values from the main North Sea grounds with values from the 1950s and '60s, suggested significant changes corresponding to the differences currently observed between unexploited and exploited sandeel areas.;2001;Article;Archive of Fishery and Marine Research;#NV;https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034836897&partnerID=40&md5=d95e3606eaae0a22f3baa43816e6b96a;Scopus;csv;4527;1.0;6034;True;#NV
2760;2783;9369389;https://sysrev.com/p/37916/article/9369389;Quantitative analysis of discards from brown shrimp trawlers in the coastal area of the East Frisian islands;Archive of Fishery and Marine Research;Walter, U.;Trawling for marketable brown shrimp, Crangon crangon, (5 to 8 cm body length) produces a large by-catch of benthic and demersal fish and invertebrates. After the catch has been sorted, the unwanted organisms are immediately discarded. To assess the composition of the catch and the quantity of discards, 111 samples of the unsorted catch of two shrimpers in the Wadden Sea area of Lower Saxony were analysed between November 1992 and November 1993. Commercial shrimp represented 11% of the mass of the catch, the rest was discarded. The majority of the catch were undersized shrimp (64%), other invertebrates (8%) and fish (11%). Most abundant were flatfish such as plaice, flounder and dab, and roundfish such as clupeids and gadoids. The most frequent invertebrates were shore crab and swimming crab. To calculate the total amount of the discards for the fleer of Lower Saxony, the average monthly discard/commercial shrimp ratios in the samples and data on brown shrimp landings Mere used. Different methods of estimation were applied and their results compared. Using median values of the discard/commercial shrimp ratios, a total of approximately 4000 tons of fish discards, 27 000 tons of undersized shrimp and a further 2000 tons of other invertebrate species was calculated for the shrimper fleet in the main fishing season (April to November) in 1993. The influence of a higher application rate (+20% of sample number) of selective trawls on the discard quantification were described. The results were compared with those from other studies on brown shrimp fisheries to check the accuracy of the methods used.;0.011000000000000001;Walter U.;"Institute of Birdresearch, Wilhelmshaven, Germany; Institut für Vogelforschung, 'Vogelwarte Helgoland', An der Vogelwarte 21, 26386 Wilhelmshaven, Germany";Quantitative analysis of discards from brown shrimp trawlers in the coastal area of the East Frisian islands;Trawling for marketable brown shrimp, Crangon crangon, (5 to 8 cm body length) produces a large by-catch of benthic and demersal fish and invertebrates. After the catch has been sorted, the unwanted organisms are immediately discarded. To assess the composition of the catch and the quantity of discards, 111 samples of the unsorted catch of two shrimpers in the Wadden Sea area of Lower Saxony were analysed between November 1992 and November 1993. Commercial shrimp represented 11 % of the mass of the catch, the rest was discarded. The majority of the catch were undersized shrimp (64 %), other invertebrates (8 %) and fish (11 %). Most abundant were flatfish such as plaice, flounder and dab, and roundfish such as clupeids and gadoids. The most frequent invertebrates were shore crab and swimming crab. To calculate the total amount of the discards for the fleet of Lower Saxony, the average monthly discard/commercial shrimp ratios in the samples and data on brown shrimp landings were used. Different methods of estimation were applied and their results compared. Using median values of the discard/commercial shrimp ratios, a total of approximately 4000 tons of fish discards, 27 000 tons of undersized shrimp and a further 2000 tons of other invertebrate species was calculated for the shrimper fleet in the main fishing season (April to November) in 1993. The influence of a higher application rate (+20 % of sample number) of selective trawls on the discard quantification were described. The results were compared with those from other studies on brown shrimp fisheries to check the accuracy of the methods used.;1997;Article;Archive of Fishery and Marine Research;#NV;https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031421409&partnerID=40&md5=7de3fa15c1780c887df13fda9b857824;Scopus;csv;1908;1.0;3415;True;#NV
2764;2787;9369396;https://sysrev.com/p/37916/article/9369396;Variation of organochlorine residues with length in the edible part of mackerel (Scomber scombrus) from different fishing grounds;Archive of Fishery and Marine Research;"Karl, H.; Lehmann, I.";Data on the contamination level of organochlorine residues in the edible part of mackerel from eight different fishing grounds in the North Sea and the waters to the west and south of the British Isles are presented. Correlation with length and fat content is given for each fishing ground. Mackerel from the German Eight showed distinct accumulation correlated with length of PCB congeners 101, 118, 138, 153, 180 and of the pesticide metabolite p,p'-DDE. Mackerel from all other fishing grounds did not exhibit this. The results are discussed with respect to age, fat content and biological significance.;0.006999999999999999;Karl H., Lehmann I.;"Fed. Research Centre for Fisheries, Hamburg, Germany; Bfa. für Fischerei, Inst. für Biochem./Technologie, Palmaille 9, D-22767 Hamburg, Germany";Variation of organochlorine residues with length in the edible part of mackerel (Scomber scombrus) from different fishing grounds;Data on the contamination level of organochlorine residues in the edible part of mackerel from eight different fishing grounds in the North Sea and the waters to the west and south of the British Isles are presented. Correlation with length and fat content is given for each fishing ground. Mackerel from the German Bight showed distinct accumulation correlated with length of PCB congeners 101, 118, 138, 153, 180 and of the pesticide metabolite p,p′-DDE. Mackerel from all other fishing grounds did not exhibit this. The results are discussed with respect to age, fat content and biological significance.;1998;Article;Archive of Fishery and Marine Research;#NV;https://www.scopus.com/inward/record.uri?eid=2-s2.0-11544372168&partnerID=40&md5=9d4d069f52c2b9ecf97a3326ac702184;Scopus;csv;1713;1.0;3220;True;#NV
2766;2789;9369398;https://sysrev.com/p/37916/article/9369398;Discards from beam trawl fisheries in the German Bight (North Sea);Archive of Fishery and Marine Research;"Garthe, S.; Damm, U.";"Discards from beam trawl fishery were estimated for 1990 and 1991 using data from surveys with FRV ""Solea"". These catches were carried out by simulating commercial conditions. AU fish species, starfish and swimming crabs were artificially split into discards and marketable fractions. For 1 kg of sole (Solea solen), the main target species in this fishery, there were G. I kg of flatfish discards (both years), 0.5 kg of roundfish discards (both years), 4.3 kg (1990) or 10.7 kg (1991) of starfish discards, 0.5 kg (1990) and 0.1 kg (1991) of swimming crab discards and 1.1 kg (1990) or 1.3 kg (1991) of marketable plaice (Pleuronectes platessa). Plaice, dab (Limanda limanda) and flounder (Platichthys flesus) dominated the discards fraction. The total mass of discards in the German Bight in 1991 was estimated at 36 000 t fish, 58 000 t starfish and 800 t swimming crabs; the number of individuals to 420 million fish, 5800 million starfish and 120 million swimming crabs. The reliability of catches by fishery research vessels for estimating discards in commercial fisheries is discussed.";0.017;Garthe S., Damm U.;"Institute of Marine Science, Kiel, Germany; Inst. Avian Res. Vogelwarte H., Island Station, Helgoland, Germany; Fed. Research Centre for Fisheries, Hamburg, Germany";Discards from beam trawl fisheries in the German Bight (North Sea);"Discards from beam trawl fishery were estimated for 1990 and 1991 using data from surveys with FRV ""Solea"". These catches were carried out by simulating commercial conditions. All fish species, starfish and swimming crabs were artificially split into discards and marketable fractions. For 1 kg of sole (Solea solea), the main target species in this fishery, there were 6.1 kg of flatfish discards (both years), 0.5 kg of roundfish discards (both years), 4.3 kg (1990) or 10.7 kg (1991) of starfish discards, 0.5 kg (1990) and 0.1 kg (1991) of swimming crab discards and 1.1 kg (1990) or 1.3 kg (1991) of marketable plaice (Pleuronectes Platessa). Plaice, dab (Limanda limanda) and flounder (Platichthys flesus) dominated the discards fraction.The total mass of discards in the German Bight in 1991 was estimated at 36 0001 fish, 58 000 t starfish and 800 t swimming crabs; the number of individuals to 420 million fish, 5800 million starfish and 120 million swimming crabs.The reliability of catches by fishery research vessels for estimating discards in commercial fisheries is discussed.";1998;Article;Archive of Fishery and Marine Research;#NV;https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031430017&partnerID=40&md5=052a654570c974804c290f70d502d706;Scopus;csv;1712;1.0;3219;True;#NV
