"Precision of the driver(s) if """"other""""",n
climate_change_scenario,65
climate_change_scenarios,25
noise,20
sewage,11
discards,6
climate_change_general,5
storm_surge,4
wind,4
climate_change_scenarios|||climate_change_scenario,2
climate_change_scenario|||climate_change_scenario,2
kelp_harvesting,2
noise_pollution,2
aggregate_extraction,1
artificial_lighting,1
artificial_reef,1
boat_disturbance,1
carbon,1
change_currents,1
change_wind_conditions|||wind_speed,1
climate change,1
climate_change scenarios,1
climate_change_scenario|||climate_change_scenarios,1
climate_change_scencario,1
climate_change_scenrio,1
climate_change_scenrios,1
climate_chnage_scenario,1
co2,1
construction_noise,1
containers,1
destructive_dredging_work_shipping_channel|||dredging,1
discard,1
discharge,1
disturbance,1
disturbance as in removal of biomass,1
"dredging,disposal,extraction",1
dredging_stones,1
fecal,1
glass_bottles_metallic_objects_fishing_gear,1
grazing_salt_marsh,1
greenhouse_gases,1
habitat_loss,1
human_disturbance,1
human_residues,1
hunting,1
increasing_atmospheric_co2,1
introduction_mussel_culture,1
irradiance,1
marine_devris,1
multiple_pollution_sources,1
nao,1
"noise, fishing_gear",1
noise|||underwater_noise,1
not_specified_pollution,1
offshore_platform_lighting,1
owf,1
photoperiod,1
precipitation; wind,1
pulse_fishing,1
rain,1
seal_hunting,1
seawage,1
sediment_infill,1
sewage pollution,1
sewage_plume,1
sewage_sludge,1
sewage_sludge_deposition,1
sewage_sludge_dumping,1
ship_emissions,1
ship_traffic,1
ship_wrecks,1
shipping,1
storm surges,1
storm_surges,1
storminess; rainfall,1
terrigenous_dom,1
uv_radiation,1
uv_radiation_related_to_ozone_depletion,1
various_marine_debris,1
waste_discharge,1
wave energy,1
wave_height,1
"wave_heights, climate_change_scenarios",1
wave_regime,1
waves,1
wind_farm,1
wind_park,1
wind_speed,1
wind_wave,1
