...1,pdf_name,title,year,Article ID,Article_URL,Include,Exclusion criteria,Other exclusion criteria,Paper type,Anthropogenic driver(s),Precision_of_the driver(s),"Precision of the driver(s) if """"other""""",Analyzed impact(s),"Analyzed impact(s) if """"other""""",Nature of the study population,"Nature of the population if """"other""""",Organizational level,ICES major location,ICES_medium_location(s),Habitat_type(s),"Habitat type if """"other""""",Main_methodology,Spatial dimension,Temporal dimension,Solution_investigated,Comment
1,9362819,Contemporary monitoring of storm surge activity,2019,14884444,https://sysrev.com/p/99278/article/14884444,FALSE,Other,methodological_only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not_specified,NA,NA,NA,NA,Not_tested,NA
2,9362821,Reconstruction of Atlantic herring (Clupea harengus) recruitment in the North Sea for the past 455 years based on the δ13C from annual shell increments of the ocean quahog (Arctica islandica),2019,14884008,https://sysrev.com/p/99278/article/14884008,FALSE,Non_anthropogenic_driver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not_specified,NA,NA,NA,NA,Not_tested,NA
3,9362825,Modelling and predicting habitats for the neobiotic American razor clam Ensis leei in the Wadden Sea,2019,14881611,https://sysrev.com/p/99278/article/14881611,TRUE,NA,NA,Primary_research_article,Biological_invasion,Non_native_species_introduction,NA,Change_biomass_abundance|||Change_distribution,NA,Benthos,NA,Population,IVb,6,Intertidal,NA,Field_observations_measurement|||Modelling,TRUE,FALSE,Not_tested,NA
4,9362827,Multi-residue quantification and screening of emerging organic micropollutants in the Belgian Part of the North Sea by use of Speedisk extraction and Q-Orbitrap HRMS,2019,14881688,https://sysrev.com/p/99278/article/14881688,TRUE,NA,NA,Primary_research_article,Pollution,Chemical_hazardous_substances|||Medical_hormone_products,NA,Change_chemical_water_properties,NA,Chemical,NA,Not_applicable,IVc,6,Not_specified,NA,Field_observations_measurement,TRUE,TRUE,Not_tested,NA
5,9362828,"Molecular analysis ofUlva compressa(Chlorophyta, Ulvales) reveals its morphological plasticity, distribution and potential invasiveness on German North Sea and Baltic Sea coasts",2018,14884128,https://sysrev.com/p/99278/article/14884128,TRUE,NA,NA,Primary_research_article,Biological_invasion,Non_native_species_introduction,NA,Change_biomass_abundance,NA,Macropthytes,NA,Population,IVb,6,Not_specified,NA,Field_observations_measurement,TRUE,TRUE,Not_tested,NA
6,9362830,Stable coexistence of equivalent nutrient competitors through niche differentiation in the light spectrum,2019,14882690,https://sysrev.com/p/99278/article/14882690,TRUE,NA,NA,Primary_research_article,Pollution,Nutrient_input_N_P,NA,Change_biomass_abundance,NA,Phytoplankton,NA,Community,IVa|||IVc,2|||6,Not_specified,NA,Experiment,TRUE,TRUE,Not_tested,NA
7,9362831,Spatial distribution of foreshore litter on the northwest European continental shelf,2019,14884238,https://sysrev.com/p/99278/article/14884238,TRUE,NA,NA,Primary_research_article,Pollution,Plastic_litter|||Other_litter,NA,Quantification_driver,NA,Chemical,NA,Not_applicable,IVa||| IVb|||IVc,1|||3|||4|||5|||6|||7,Not_specified,NA,Field_observations_measurement,TRUE,FALSE,Not_tested,NA
8,9362834,Surface Heat Budget over the North Sea in Climate Change Simulations,2019,14882997,https://sysrev.com/p/99278/article/14882997,TRUE,NA,NA,Primary_research_article,Climate_change,Other,Climate_change_scenarios,Change_physical_water_properties,NA,Physical,NA,Not_applicable,whole_North_Sea,Whole_North_Sea,Not_specified,NA,Modelling,TRUE,TRUE,Not_tested,NA
9,9362836,Centennial decline in North Sea water clarity causes strong delay in phytoplankton bloom timing,2019,14882487,https://sysrev.com/p/99278/article/14882487,TRUE,NA,NA,Primary_research_article,Climate_change,Other_physical_parameter,NA,Change_biomass_abundance,NA,Phytoplankton,NA,Community,whole_North_Sea,Whole_North_Sea,Not_specified,NA,Field_observations_measurement,TRUE,TRUE,Not_tested,NA
10,9362842,Shifts in trait-based and taxonomic macrofauna community structure along a 27-year time-series in the south-eastern North Sea,2019,14885056,https://sysrev.com/p/99278/article/14885056,FALSE,Non_anthropogenic_driver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not_specified,NA,NA,NA,NA,Not_tested,NA
11,9362846,How invasive oysters can affect parasite infection patterns in native mussels on a large spatial scale,2019,14882223,https://sysrev.com/p/99278/article/14882223,TRUE,NA,NA,Primary_research_article,Biological_invasion,Non_native_species_introduction,NA,Other,parasitism,Benthos,NA,Individual,IVb,6,Oyster_mussel_bed,NA,Field_observations_measurement,TRUE,FALSE,Not_tested,NA
12,9362847,Identification of microbial key-indicators of oil contamination at sea through tracking of oil biotransformation: An Arctic field and laboratory study,2019,14881471,https://sysrev.com/p/99278/article/14881471,TRUE,NA,NA,Primary_research_article,Pollution,Oils_hydrocarbons_related,NA,Change_biomass_abundance|||Change_diversity,NA,Bacteria_other_microorganisms,NA,Community,IVa,Norvegian_coast,Not_specified,NA,Experiment,TRUE,TRUE,Not_tested,NA
13,9362850,Midnight at the oasis: does restoration change the rigs-to-reefs debate in the North Sea?,2019,14882270,https://sysrev.com/p/99278/article/14882270,FALSE,Not_good_populations,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not_specified,NA,NA,NA,NA,Not_tested,NA
14,9362854,Increasing turbidity in the North Sea during the 20th century due to changing wave climate,2019,14885985,https://sysrev.com/p/99278/article/14885985,FALSE,Non_anthropogenic_driver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not_specified,NA,NA,NA,NA,Not_tested,NA
15,9362858,Secondary contacts and genetic admixture shape colonization by an amphiatlantic epibenthic invertebrate,2019,14885760,https://sysrev.com/p/99278/article/14885760,TRUE,NA,NA,Primary_research_article,Biological_invasion,Non_native_species_introduction,NA,Change_distribution,NA,Benthos,NA,Individual,IVb,4|||7,Not_specified,NA,Field_observations_measurement,TRUE,FALSE,Not_tested,NA
16,9362860,"Attraction of nocturnally migrating birds to artificial light: The influence of colour, intensity and blinking mode under different cloud cover conditions",2019,14883948,https://sysrev.com/p/99278/article/14883948,TRUE,NA,NA,Primary_research_article,Sea_use_change,Other_physical_parameter,artificial_lighting,Change_biomass_abundance|||Other,change_behavior,Seabirds,NA,Individual,IVb,6,Not_specified,NA,Experiment,FALSE,FALSE,Not_tested,NA
17,9362861,Implications of using chemical dispersants to combat oil spills in the German Bight – Depiction by means of a Bayesian network,2019,14883124,https://sysrev.com/p/99278/article/14883124,TRUE,NA,NA,Primary_research_article,Pollution,Oils_hydrocarbons_related,NA,Change_chemical_water_properties,NA,Chemical,NA,Not_applicable,IVb|||IVc,6,Not_specified,NA,Modelling,TRUE,TRUE,Not_tested,NA
18,9362876,Footprint and detectability of a well leaking CO2 in the Central North Sea: Implications from a field experiment and numerical modelling,2019,14885878,https://sysrev.com/p/99278/article/14885878,TRUE,NA,NA,Primary_research_article,Pollution,Gas_stockage_leaking,NA,Change_chemical_water_properties,NA,Chemical,NA,Not_applicable,IVa,1,Not_specified,NA,Modelling|||Field_observations_measurement,TRUE,TRUE,Not_tested,NA
19,9362877,Molecular Targets for Coevolutionary Interactions Between Pacific Oyster Larvae and Their Sympatric Vibrios,2019,14884255,https://sysrev.com/p/99278/article/14884255,TRUE,NA,NA,Primary_research_article,Biological_invasion,Non_native_species_introduction,NA,Change_genetic,NA,Bacteria_other_microorganisms|||Benthos,NA,Individual,IVb|||IVc,6,Not_specified,NA,Experiment|||Field_observations_measurement,TRUE,FALSE,Not_tested,NA
20,9362882,Spatially resolved past and projected changes of the suitable thermal habitat of North Sea cod (Gadus morhua) under climate change,2019,14886603,https://sysrev.com/p/99278/article/14886603,TRUE,NA,NA,Primary_research_article,Climate_change,Temperature,NA,Change_distribution,NA,Fish,NA,Population,whole_North_Sea,Whole_North_Sea,Not_specified,NA,Modelling,TRUE,TRUE,Not_tested,NA
21,9362890,Likely and High-End Impacts of Regional Sea-Level Rise on the Shoreline Change of European Sandy Coasts Under a High Greenhouse Gas Emissions Scenario,2019,14881645,https://sysrev.com/p/99278/article/14881645,TRUE,NA,NA,Primary_research_article,Climate_change,Sea_level_rise|||Other,climate_change_scenario,Change_physical_water_properties,NA,Physical,NA,Not_applicable,IVa||| IVb|||IVc,3|||4|||5|||6|||7,Not_specified,NA,Modelling,TRUE,TRUE,Not_tested,NA
22,9362898,"Self-foraging vs facilitated foraging by Lesser Black-backed Gull (Larus fuscus) at the Frisian Front, the Netherlands",2019,14882663,https://sysrev.com/p/99278/article/14882663,TRUE,NA,NA,Primary_research_article,Direct_exploitation,Fishing_incidental_or_bycatch,NA,Change_trophic_functioning,NA,Seabirds,NA,Population,IVb,6,Not_specified,NA,Field_observations_measurement,TRUE,TRUE,Not_tested,NA
23,9362902,"Wind, waves, tides, and human error? – Influences on litter abundance and composition on German North Sea coastlines: An exploratory analysis",2019,14881889,https://sysrev.com/p/99278/article/14881889,TRUE,NA,NA,Primary_research_article,Pollution,Other_litter|||Plastic_litter,NA,Quantification_driver,NA,Chemical,NA,Not_applicable,IVb,6,Beach_Dune,NA,Field_observations_measurement,TRUE,TRUE,Not_tested,NA
24,9362906,Sediment supply and barrier dynamics as driving mechanisms of Holocene coastal change for the southern North Sea basin,2019,14883767,https://sysrev.com/p/99278/article/14883767,FALSE,Not_right_time_period,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not_specified,NA,NA,NA,NA,Not_tested,NA
25,9362909,Trial of a new escape panel concept to reduce cod catches in a mixed demersal fishery,2019,14884424,https://sysrev.com/p/99278/article/14884424,TRUE,NA,NA,Primary_research_article,Direct_exploitation,Fishing_incidental_or_bycatch,NA,Change_biomass_abundance,NA,Fish,NA,Population,IVa,1,Not_specified,NA,Field_observations_measurement,FALSE,TRUE,Management,NA
26,9362911,Sources of uncertainty in estuarine climate impact modeling,2017,14883841,https://sysrev.com/p/99278/article/14883841,TRUE,NA,NA,Primary_research_article,Climate_change,Other,climate_change_scenarios,Change_physical_water_properties,NA,Physical,NA,Not_applicable,IVb,6,Estuary,NA,Modelling,TRUE,TRUE,Not_tested,NA
