"","nr","pdf_name","title","year","Article ID","Article_URL","Include","Exclusion criteria","Other exclusion criteria","Paper type","Anthropogenic driver(s)","Precision_of_the driver(s)","Precision of the driver(s) if """"other""""","Analyzed impact(s)","Analyzed impact(s) if """"other""""","Nature of the study population","Nature of the population if """"other""""","Organizational level","ICES major location","ICES_medium_location(s)","Habitat_type(s)","Habitat type if """"other""""","Main_methodology","Spatial dimension","Temporal dimension","Solution_investigated","Comment"
"1",1,9362819,"Contemporary monitoring of storm surge activity",2019,14884444,"https://sysrev.com/p/99278/article/14884444",FALSE,"Other","methodological_only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not_specified",NA,NA,NA,NA,"Not_tested",NA
"2",2,9362821,"Reconstruction of Atlantic herring (Clupea harengus) recruitment in the North Sea for the past 455 years based on the δ13C from annual shell increments of the ocean quahog (Arctica islandica)",2019,14884008,"https://sysrev.com/p/99278/article/14884008",FALSE,"Non_anthropogenic_driver",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not_specified",NA,NA,NA,NA,"Not_tested",NA
"3",10,9362842,"Shifts in trait-based and taxonomic macrofauna community structure along a 27-year time-series in the south-eastern North Sea",2019,14885056,"https://sysrev.com/p/99278/article/14885056",FALSE,"Non_anthropogenic_driver",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not_specified",NA,NA,NA,NA,"Not_tested",NA
"4",13,9362850,"Midnight at the oasis: does restoration change the rigs-to-reefs debate in the North Sea?",2019,14882270,"https://sysrev.com/p/99278/article/14882270",FALSE,"Not_good_populations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not_specified",NA,NA,NA,NA,"Not_tested",NA
"5",14,9362854,"Increasing turbidity in the North Sea during the 20th century due to changing wave climate",2019,14885985,"https://sysrev.com/p/99278/article/14885985",FALSE,"Non_anthropogenic_driver",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not_specified",NA,NA,NA,NA,"Not_tested",NA
"6",24,9362906,"Sediment supply and barrier dynamics as driving mechanisms of Holocene coastal change for the southern North Sea basin",2019,14883767,"https://sysrev.com/p/99278/article/14883767",FALSE,"Not_right_time_period",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not_specified",NA,NA,NA,NA,"Not_tested",NA
"7",27,9362917,"Exploring the temporal variability of a food web using long‐term biomonitoring data",2019,14884312,"https://sysrev.com/p/99278/article/14884312",FALSE,"Non_anthropogenic_driver",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not_specified",NA,NA,NA,NA,"Not_tested",NA
"8",30,9362928,"The diet of harbour and grey seals around Britain: Examining the role of prey as a potential cause of harbour seal declines",2019,14882684,"https://sysrev.com/p/99278/article/14882684",FALSE,"Non_anthropogenic_driver",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not_specified",NA,NA,NA,NA,"Not_tested",NA
"9",33,9362938,"Sea-level rise in ports: a wider focus on impacts",2018,14883255,"https://sysrev.com/p/99278/article/14883255",FALSE,"Not_good_populations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not_specified",NA,NA,NA,NA,"Not_tested",NA
"10",37,9362945,"Nutrient, pigment, suspended matter and turbidity measurements in the Belgian part of the North Sea",2019,14886265,"https://sysrev.com/p/99278/article/14886265",FALSE,"Non_anthropogenic_driver",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not_specified",NA,NA,NA,NA,"Not_tested",NA
"11",39,9362948,"An Aero-acoustic Noise Distribution Prediction Methodology for Offshore Wind Farms",2018,14886662,"https://sysrev.com/p/99278/article/14886662",FALSE,"Not_good_populations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not_specified",NA,NA,NA,NA,"Not_tested",NA
"12",40,9362949,"Genetic analysis of a recently establishedUndaria pinnatifida(Laminariales: Alariaceae) population in the northern Wadden Sea reveals close proximity between drifting thalli and the attached population",2019,14885764,"https://sysrev.com/p/99278/article/14885764",FALSE,"Non_anthropogenic_driver",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not_specified",NA,NA,NA,NA,"Not_tested",NA
"13",41,9362953,"Assessing the State of Demersal Fish to Address Formal Ecosystem Based Management Needs: Making Fisheries Independent Trawl Survey Data ‘Fit for Purpose’",2019,14882521,"https://sysrev.com/p/99278/article/14882521",FALSE,"Not_good_populations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not_specified",NA,NA,NA,NA,"Not_tested",NA
"14",46,9362980,"Abiotic drivers of interannual phytoplankton variability and a 1999–2000 regime shift in the North Sea examined by multivariate statistics",2019,14884047,"https://sysrev.com/p/99278/article/14884047",FALSE,"Non_anthropogenic_driver",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not_specified",NA,NA,NA,NA,"Not_tested",NA
"15",55,9363013,"Electronic monitoring in fisheries: Lessons from global experiences and future opportunities",2019,14884590,"https://sysrev.com/p/99278/article/14884590",FALSE,"Not_good_populations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not_specified",NA,NA,NA,NA,"Not_tested",NA
"16",64,9363046,"From Science to Evidence – How Biodiversity Indicators Can Be Used for Effective Marine Conservation Policy and Management",2019,14883704,"https://sysrev.com/p/99278/article/14883704",FALSE,"Governance_only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not_specified",NA,NA,NA,NA,"Not_tested",NA
"17",65,9363047,"Does the European Union achieve comprehensive blue growth? Progress of EU coastal states in the Baltic and North Sea, and the Atlantic Ocean against sustainable development goal 14",2019,14881401,"https://sysrev.com/p/99278/article/14881401",FALSE,"Governance_only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not_specified",NA,NA,NA,NA,"Not_tested",NA
"18",70,9363063,"Garbage in guano? Microplastic debris found in faecal precursors of seabirds known to ingest plastics",2018,14882147,"https://sysrev.com/p/99278/article/14882147",FALSE,"Not_North_Sea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not_specified",NA,NA,NA,NA,"Not_tested",NA
"19",71,9363083,"Requirements for a Coastal Hazards Observing System",2019,14881948,"https://sysrev.com/p/99278/article/14881948",FALSE,"Not_North_Sea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not_specified",NA,NA,NA,NA,"Not_tested",NA
"20",72,9363084,"A synthesis of the ecosystem responses to the late 20th century cold period in the northern North Atlantic",2018,14883820,"https://sysrev.com/p/99278/article/14883820",FALSE,"Non_anthropogenic_driver",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not_specified",NA,NA,NA,NA,"Not_tested",NA
"21",74,9363090,"Herring politics: Northern Scotland’s herring fishing industry, 1660-1707",2019,14885251,"https://sysrev.com/p/99278/article/14885251",FALSE,"Not_right_time_period",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not_specified",NA,NA,NA,NA,"Not_tested",NA
"22",75,9363094,"Synchrony is more than its top-down and climatic parts: interacting Moran effects on phytoplankton in British seas",2019,14882172,"https://sysrev.com/p/99278/article/14882172",FALSE,"Non_anthropogenic_driver",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not_specified",NA,NA,NA,NA,"Not_tested",NA
"23",77,9363096,"Using functional responses and prey switching to quantify invasion success of the Pacific oyster, Crassostrea gigas",2019,14881150,"https://sysrev.com/p/99278/article/14881150",FALSE,"Not_North_Sea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not_specified",NA,NA,NA,NA,"Not_tested",NA
"24",81,9363106,"Distributions of three Alexandrium species and their toxins across a salinity gradient suggest an increasing impact of GDA producing A. pseudogonyaulax in shallow brackish waters of Northern Europe",2019,14883133,"https://sysrev.com/p/99278/article/14883133",FALSE,"Non_anthropogenic_driver",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not_specified",NA,NA,NA,NA,"Not_tested",NA
"25",83,9363110,"Abundance of microplastics in the gastrointestinal tracts of the eelpout (Zoacres viviparous L.) collected in Roskilde Fjord, Denmark: Implications for use as a monitoring species under the Marine Strategy Framework Directive",2019,14883962,"https://sysrev.com/p/99278/article/14883962",FALSE,"Not_North_Sea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not_specified",NA,NA,NA,NA,"Not_tested",NA
"26",90,9363124,"Can multitrophic interactions and ocean warming influence large‐scale kelp recovery?",2019,14884762,"https://sysrev.com/p/99278/article/14884762",FALSE,"Not_North_Sea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
